event_date,date,year,month,season_yea,life_stage,decade,longitude,latitude,number_ind,basis_reco
2008-12-18T00:00:00Z,2008-12,2008,12,summer,weaning,2000,146.35000000000002,-63.95,0,BACKGROUND
2008-12-21T00:00:00Z,2008-12,2008,12,summer,weaning,2000,112.65,-61.05,0,BACKGROUND
1999-12-09T00:00:00Z,1999-12,1999,12,summer,weaning,1990,142.65,-65.15,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,90.65,-61.35,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,83.35,-61.95,0,BACKGROUND
1999-12-20T00:00:00Z,1999-12,1999,12,summer,weaning,1990,114.55,-64.45,0,BACKGROUND
1999-12-20T00:00:00Z,1999-12,1999,12,summer,weaning,1990,88.25,-60.95,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,121.95,-63.75,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,127.75,-64.75,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,87.85,-64.05,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,74.65,-65.15,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,81.25,-67.35,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,106.65,-63.95,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,101.65,-64.25,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,137.75,-64.95,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,144.95,-63.650000000000006,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,90.15,-62.650000000000006,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,72.35,-68.05,0,BACKGROUND
1999-12-19T00:00:00Z,1999-12,1999,12,summer,weaning,1990,92.15,-62.55,0,BACKGROUND
1999-12-17T00:00:00Z,1999-12,1999,12,summer,weaning,1990,79.65,-64.85,0,BACKGROUND
1999-12-17T00:00:00Z,1999-12,1999,12,summer,weaning,1990,84.45,-60.95,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,107.15,-64.95,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,94.35,-64.95,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,109.35000000000001,-63.05,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,51.05,-65.25,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,60.650000000000006,-63.95,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,84.15,-62.85,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,78.15,-63.650000000000006,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,87.85,-62.25,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,131.85000000000002,-63.650000000000006,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,72.55000000000001,-66.35,0,BACKGROUND
1999-12-20T00:00:00Z,1999-12,1999,12,summer,weaning,1990,78.65,-67.65,0,BACKGROUND
1999-12-20T00:00:00Z,1999-12,1999,12,summer,weaning,1990,79.35,-63.55,0,BACKGROUND
1999-12-20T00:00:00Z,1999-12,1999,12,summer,weaning,1990,123.85000000000001,-65.05,0,BACKGROUND
1999-12-20T00:00:00Z,1999-12,1999,12,summer,weaning,1990,71.25,-68.25,0,BACKGROUND
1999-12-20T00:00:00Z,1999-12,1999,12,summer,weaning,1990,54.25,-65.25,0,BACKGROUND
1999-12-20T00:00:00Z,1999-12,1999,12,summer,weaning,1990,72.65,-66.15,0,BACKGROUND
1999-12-20T00:00:00Z,1999-12,1999,12,summer,weaning,1990,76.95,-66.25,0,BACKGROUND
1999-12-20T00:00:00Z,1999-12,1999,12,summer,weaning,1990,121.75,-64.25,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,73.05000000000001,-66.35,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,74.35,-66.65,0,BACKGROUND
1999-12-21T00:00:00Z,1999-12,1999,12,summer,weaning,1990,52.35,-64.35,0,BACKGROUND
1999-12-16T00:00:00Z,1999-12,1999,12,summer,weaning,1990,87.85,-65.85,0,BACKGROUND
1999-12-16T00:00:00Z,1999-12,1999,12,summer,weaning,1990,73.35,-66.05,0,BACKGROUND
1999-12-16T00:00:00Z,1999-12,1999,12,summer,weaning,1990,120.05000000000001,-65.45,0,BACKGROUND
1999-12-16T00:00:00Z,1999-12,1999,12,summer,weaning,1990,80.85,-65.15,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,76.45,-67.75,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,84.95,-61.05,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,132.05,-65.25,0,BACKGROUND
1987-11-12T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,102.45,-63.75,0,BACKGROUND
1987-11-12T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,152.45,-63.650000000000006,0,BACKGROUND
1987-11-12T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,80.55000000000001,-66.65,0,BACKGROUND
1987-11-12T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,81.95,-65.25,0,BACKGROUND
1987-11-12T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,75.65,-65.35,0,BACKGROUND
1987-11-12T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,51.55,-65.95,0,BACKGROUND
1987-11-12T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,65.75,-65.55,0,BACKGROUND
1987-11-11T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,103.65,-62.35,0,BACKGROUND
1987-11-11T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,146.75,-64.45,0,BACKGROUND
1987-11-11T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,138.45,-64.35,0,BACKGROUND
1987-11-11T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,64.35,-62.95,0,BACKGROUND
1987-11-11T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,123.05000000000001,-65.45,0,BACKGROUND
1987-11-11T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,99.35,-64.95,0,BACKGROUND
1987-11-11T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,76.85,-67.05,0,BACKGROUND
1987-11-11T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,113.15,-64.65,0,BACKGROUND
1987-11-11T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,69.95,-60.65,0,BACKGROUND
1987-11-11T00:00:00Z,1987-11,1987,11,autumn,weaning,1980,94.55000000000001,-65.15,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,95.15,-64.05,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,81.75,-65.95,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,101.15,-63.35,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,74.05000000000001,-63.85,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,151.75,-64.25,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,104.05,-62.85,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,66.25,-64.75,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,75.85,-63.05,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,117.85000000000001,-63.95,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,140.35000000000002,-63.85,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,139.95,-65.15,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,61.55,-66.25,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,82.55000000000001,-61.95,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,73.85,-68.75,0,BACKGROUND
1997-12-15T00:00:00Z,1997-12,1997,12,summer,weaning,1990,135.55,-65.35,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,112.25,-65.25,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,70.55000000000001,-65.25,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,72.55000000000001,-66.65,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,113.65,-62.75,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,110.15,-64.25,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,75.95,-60.75,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,133.75,-64.15,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,96.35,-63.05,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,82.55000000000001,-62.95,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,81.35,-66.95,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,80.35,-67.15,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,100.85,-64.65,0,BACKGROUND
1997-12-10T00:00:00Z,1997-12,1997,12,summer,weaning,1990,61.25,-65.05,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,80.75,-64.05,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,74.65,-60.75,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,147.05,-63.95,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,152.15,-64.25,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,76.95,-64.75,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,103.25,-62.35,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,103.85000000000001,-65.05,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,78.15,-62.25,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,151.15,-64.55,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,79.85,-65.65,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,142.15,-64.85,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,88.75,-64.15,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,75.95,-68.55,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,70.25,-65.05,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,85.85,-61.75,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,69.75,-66.25,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,145.35000000000002,-63.95,0,BACKGROUND
1998-11-15T00:00:00Z,1998-11,1998,11,autumn,weaning,1990,81.85,-64.95,0,BACKGROUND
